Year,Indicator Name,Value
1978,Insurance and financial services (% of commercial service exports),0.703674746
1978,Manufactures exports (% of merchandise exports),18.62155875
1978,Manufactures imports (% of merchandise imports),65.29841488
1978,Ores and metals exports (% of merchandise exports),12.77977009
1978,Ores and metals imports (% of merchandise imports),4.177118881
1979,Agricultural raw materials exports (% of merchandise exports),36.18138043
1979,Agricultural raw materials imports (% of merchandise imports),2.063852755
1979,Exports of goods and services (% of GDP),56.01413062
1979,Exports of goods and services (annual % growth),17.96610757
1979,Food exports (% of merchandise exports),17.15529494
1979,Food imports (% of merchandise imports),13.5515594
1979,Fuel exports (% of merchandise exports),18.24304736
1979,Fuel imports (% of merchandise imports),12.0579528
1979,Imports of goods and services (% of GDP),47.13941065
1979,Imports of goods and services (annual % growth),20.43454795
1979,Insurance and financial services (% of commercial service exports),0.841423948
1979,Manufactures exports (% of merchandise exports),17.47572814
1979,Manufactures imports (% of merchandise imports),66.96484145
1979,Ores and metals exports (% of merchandise exports),10.66566442
1979,Ores and metals imports (% of merchandise imports),4.74352966
1980,Agricultural raw materials exports (% of merchandise exports),31.00132301
1980,Agricultural raw materials imports (% of merchandise imports),1.865175438
1980,Exports of goods and services (% of GDP),57.5448338
1980,Exports of goods and services (annual % growth),3.17003995
1980,Food exports (% of merchandise exports),15.04649355
1980,Food imports (% of merchandise imports),11.86805275
1980,Fuel exports (% of merchandise exports),24.71961379
1980,Fuel imports (% of merchandise imports),15.15352717
1980,Imports of goods and services (% of GDP),55.04239514
1980,Imports of goods and services (annual % growth),20.50998123
1980,Insurance and financial services (% of commercial service exports),0.658472344
1980,Manufactures exports (% of merchandise exports),18.75424926
1980,Manufactures imports (% of merchandise imports),66.55909331
1980,Ores and metals exports (% of merchandise exports),10.18997068
1980,Ores and metals imports (% of merchandise imports),3.981267252
1981,Agricultural raw materials exports (% of merchandise exports),27.39038545
1981,Agricultural raw materials imports (% of merchandise imports),1.667228691
1981,Exports of goods and services (% of GDP),52.33888185
1981,Exports of goods and services (annual % growth),-0.83115839
1981,Food exports (% of merchandise exports),16.86854856
1981,Food imports (% of merchandise imports),12.8709845
1981,Fuel exports (% of merchandise exports),26.62271568
1981,Fuel imports (% of merchandise imports),17.18662687
1981,Imports of goods and services (% of GDP),58.52324996
1981,Imports of goods and services (annual % growth),5.590864489
1981,Insurance and financial services (% of commercial service exports),0.106345268
1981,Manufactures exports (% of merchandise exports),19.59382272
1981,Manufactures imports (% of merchandise imports),64.02307388
1981,Ores and metals exports (% of merchandise exports),9.017847379
1981,Ores and metals imports (% of merchandise imports),3.599277783
1982,Agricultural raw materials exports (% of merchandise exports),26.01681132
1982,Agricultural raw materials imports (% of merchandise imports),1.362991489
1982,Exports of goods and services (% of GDP),50.87301714
1982,Exports of goods and services (annual % growth),10.6771855
1982,Food exports (% of merchandise exports),15.94333698
1982,Food imports (% of merchandise imports),11.66473756
1982,Fuel exports (% of merchandise exports),28.66899052
1982,Fuel imports (% of merchandise imports),15.12468373
1982,Imports of goods and services (% of GDP),59.58561638
1982,Imports of goods and services (annual % growth),13.75391127
1982,Insurance and financial services (% of commercial service exports),0.057937428
1982,Manufactures exports (% of merchandise exports),22.84542598
1982,Manufactures imports (% of merchandise imports),67.74064782
1982,Ores and metals exports (% of merchandise exports),6.24831442
1982,Ores and metals imports (% of merchandise imports),3.523036785
1983,Agricultural raw materials exports (% of merchandise exports),24.2628015
1983,Agricultural raw materials imports (% of merchandise imports),1.345087072
1983,Exports of goods and services (% of GDP),51.52745443
1983,Exports of goods and services (annual % growth),12.33786929
1983,Food exports (% of merchandise exports),15.7302454
1983,Food imports (% of merchandise imports),11.22939443
1983,Fuel exports (% of merchandise exports),28.70647616
1983,Fuel imports (% of merchandise imports),13.78837041
1983,Imports of goods and services (% of GDP),56.4888422
1983,Imports of goods and services (annual % growth),9.002930311
1983,Insurance and financial services (% of commercial service exports),0.049419323
1983,Manufactures exports (% of merchandise exports),24.7219038
1983,Manufactures imports (% of merchandise imports),69.58137381
1983,Ores and metals exports (% of merchandise exports),6.346743623
1983,Ores and metals imports (% of merchandise imports),3.67155613
1984,Agricultural raw materials exports (% of merchandise exports),20.14550922
1984,Agricultural raw materials imports (% of merchandise imports),1.583315561
1984,Exports of goods and services (% of GDP),54.2690132
1984,Exports of goods and services (annual % growth),13.78321597
1984,Food exports (% of merchandise exports),19.21281183
1984,Food imports (% of merchandise imports),11.45033322
1984,Fuel exports (% of merchandise exports),29.92930861
1984,Fuel imports (% of merchandise imports),10.17396732
1984,Imports of goods and services (% of GDP),52.36077938
1984,Imports of goods and services (annual % growth),6.505901305
1984,Insurance and financial services (% of commercial service exports),0.046772685
1984,Manufactures exports (% of merchandise exports),26.53385995
1984,Manufactures imports (% of merchandise imports),73.64585317
1984,Ores and metals exports (% of merchandise exports),3.994586888
1984,Ores and metals imports (% of merchandise imports),2.889616088
1985,Agricultural raw materials exports (% of merchandise exports),18.37622907
1985,Agricultural raw materials imports (% of merchandise imports),1.268248695
1985,Exports of goods and services (% of GDP),54.90770621
1985,Exports of goods and services (annual % growth),0.447482633
1985,Food exports (% of merchandise exports),17.44962414
1985,Food imports (% of merchandise imports),11.764054
1985,Fuel exports (% of merchandise exports),31.53794133
1985,Fuel imports (% of merchandise imports),12.10912084
1985,Imports of goods and services (% of GDP),49.77539693
1985,Imports of goods and services (annual % growth),-9.835962076
1985,Insurance and financial services (% of commercial service exports),0.087815587
1985,Manufactures exports (% of merchandise exports),27.17054329
1985,Manufactures imports (% of merchandise imports),71.59743064
1985,Ores and metals exports (% of merchandise exports),5.318294124
1985,Ores and metals imports (% of merchandise imports),2.92660591
1986,Agricultural raw materials exports (% of merchandise exports),21.1000778
1986,Agricultural raw materials imports (% of merchandise imports),1.47557259
1986,Exports of goods and services (% of GDP),56.29661703
1986,Exports of goods and services (annual % growth),11.78666887
1986,Food exports (% of merchandise exports),15.83090151
1986,Food imports (% of merchandise imports),12.17935802
1986,Fuel exports (% of merchandise exports),22.85109797
1986,Fuel imports (% of merchandise imports),8.253258229
1986,Imports of goods and services (% of GDP),50.20113417
1986,Imports of goods and services (annual % growth),-6.468884227
1986,Insurance and financial services (% of commercial service exports),0.081649316
1986,Manufactures exports (% of merchandise exports),37.04778169
1986,Manufactures imports (% of merchandise imports),74.84743844
1986,Ores and metals exports (% of merchandise exports),2.968220421
1986,Ores and metals imports (% of merchandise imports),2.878748241
1987,Agricultural raw materials exports (% of merchandise exports),22.63547085
1987,Agricultural raw materials imports (% of merchandise imports),1.789473594
1987,Exports of goods and services (% of GDP),62.89449343
1987,Exports of goods and services (annual % growth),14.55713987
1987,Food exports (% of merchandise exports),14.90946632
1987,Food imports (% of merchandise imports),11.18351094
1987,Fuel exports (% of merchandise exports),19.94625451
1987,Fuel imports (% of merchandise imports),7.148118335
1987,Imports of goods and services (% of GDP),49.02509712
1987,Imports of goods and services (annual % growth),8.47378555
1987,Insurance and financial services (% of commercial service exports),0.073139514
1987,Manufactures exports (% of merchandise exports),39.26469121
1987,Manufactures imports (% of merchandise imports),76.23659948
1987,Ores and metals exports (% of merchandise exports),3.055329571
1987,Ores and metals imports (% of merchandise imports),3.339797393
1988,Agricultural raw materials exports (% of merchandise exports),21.53393684
1988,Agricultural raw materials imports (% of merchandise imports),1.664827757
1988,Exports of goods and services (% of GDP),66.41550287
1988,Exports of goods and services (annual % growth),10.89846153
1988,Food exports (% of merchandise exports),15.7765932
1988,Food imports (% of merchandise imports),10.64058615
1988,Fuel exports (% of merchandise exports),15.80046517
1988,Fuel imports (% of merchandise imports),5.353123184
1988,Imports of goods and services (% of GDP),56.20872578
1988,Imports of goods and services (annual % growth),19.71473072
1988,Insurance and financial services (% of commercial service exports),0.100401606
1988,Manufactures exports (% of merchandise exports),43.51421445
1988,Manufactures imports (% of merchandise imports),76.19062053
1988,Ores and metals exports (% of merchandise exports),2.994637006
1988,Ores and metals imports (% of merchandise imports),4.023757654
1989,Agricultural raw materials exports (% of merchandise exports),17.90089536
1989,Agricultural raw materials imports (% of merchandise imports),1.569165812
1989,Exports of goods and services (% of GDP),71.37684947
1989,Exports of goods and services (annual % growth),15.19379484
1989,Food exports (% of merchandise exports),13.91155616
1989,Food imports (% of merchandise imports),8.963462684
1989,Fuel exports (% of merchandise exports),16.25317677
1989,Fuel imports (% of merchandise imports),4.783483403
1989,Imports of goods and services (% of GDP),65.31221195
1989,Imports of goods and services (annual % growth),25.70131816
1989,Insurance and financial services (% of commercial service exports),0.092998539
1989,Manufactures exports (% of merchandise exports),48.63618187
1989,Manufactures imports (% of merchandise imports),76.31238707
1989,Ores and metals exports (% of merchandise exports),3.001170333
1989,Ores and metals imports (% of merchandise imports),4.226117182
1990,Agricultural raw materials exports (% of merchandise exports),13.80499434
1990,Agricultural raw materials imports (% of merchandise imports),1.30998633
1990,Exports of goods and services (% of GDP),74.4661197
1990,Exports of goods and services (annual % growth),17.81914932
1990,Food exports (% of merchandise exports),11.65842973
1990,Food imports (% of merchandise imports),6.911036598
1990,Fuel exports (% of merchandise exports),18.32467867
1990,Fuel imports (% of merchandise imports),5.084607562
1990,Imports of goods and services (% of GDP),72.42213283
1990,Imports of goods and services (annual % growth),26.28552916
1990,Insurance and financial services (% of commercial service exports),0.068654374
1990,Manufactures exports (% of merchandise exports),53.72836287
1990,Manufactures imports (% of merchandise imports),78.21315765
1990,Ores and metals exports (% of merchandise exports),2.07630454
1990,Ores and metals imports (% of merchandise imports),3.468817545
1991,Agricultural raw materials exports (% of merchandise exports),11.28030857
1991,Agricultural raw materials imports (% of merchandise imports),1.041854655
1991,Exports of goods and services (% of GDP),77.82555283
1991,Exports of goods and services (annual % growth),15.7703418
1991,Food exports (% of merchandise exports),10.67837931
1991,Food imports (% of merchandise imports),6.354495598
1991,Fuel exports (% of merchandise exports),15.51365676
1991,Fuel imports (% of merchandise imports),4.225944596
1991,Imports of goods and services (% of GDP),81.48589444
1991,Imports of goods and services (annual % growth),25.20914845
1991,Insurance and financial services (% of commercial service exports),0.076374745
1991,Manufactures exports (% of merchandise exports),60.53513847
1991,Manufactures imports (% of merchandise imports),80.86072525
1991,Ores and metals exports (% of merchandise exports),1.532837159
1991,Ores and metals imports (% of merchandise imports),3.304050387
1992,Agricultural raw materials exports (% of merchandise exports),10.23754412
1992,Agricultural raw materials imports (% of merchandise imports),1.077824395
1992,Exports of goods and services (% of GDP),75.98386005
1992,Exports of goods and services (annual % growth),12.59579366
1992,Food exports (% of merchandise exports),10.49028769
1992,Food imports (% of merchandise imports),6.515272938
1992,Fuel exports (% of merchandise exports),12.9456084
1992,Fuel imports (% of merchandise imports),4.18944252
1992,Imports of goods and services (% of GDP),74.62736093
1992,Imports of goods and services (annual % growth),6.373959214
1992,Insurance and financial services (% of commercial service exports),0.072393822
1992,Manufactures exports (% of merchandise exports),64.34859757
1992,Manufactures imports (% of merchandise imports),82.70458325
1992,Ores and metals exports (% of merchandise exports),1.535431545
1992,Ores and metals imports (% of merchandise imports),3.276048828
1993,Agricultural raw materials exports (% of merchandise exports),8.745362703
1993,Agricultural raw materials imports (% of merchandise imports),1.158407379
1993,Exports of goods and services (% of GDP),78.92028758
1993,Exports of goods and services (annual % growth),11.54253599
1993,Food exports (% of merchandise exports),9.432781776
1993,Food imports (% of merchandise imports),5.996221311
1993,Fuel exports (% of merchandise exports),10.28720717
1993,Fuel imports (% of merchandise imports),3.636950172
1993,Imports of goods and services (% of GDP),79.02017492
1993,Imports of goods and services (annual % growth),15.03522657
1993,Insurance and financial services (% of commercial service exports),0.07406493
1993,Manufactures exports (% of merchandise exports),69.62086215
1993,Manufactures imports (% of merchandise imports),82.20948036
1993,Ores and metals exports (% of merchandise exports),1.236581191
1993,Ores and metals imports (% of merchandise imports),3.419733043
1994,Agricultural raw materials exports (% of merchandise exports),7.157356832
1994,Agricultural raw materials imports (% of merchandise imports),1.190052361
1994,Exports of goods and services (% of GDP),89.15077688
1994,Exports of goods and services (annual % growth),21.90672449
1994,Food exports (% of merchandise exports),9.879757433
1994,Food imports (% of merchandise imports),5.231176749
1994,Fuel exports (% of merchandise exports),7.367116564
1994,Fuel imports (% of merchandise imports),2.584764581
1994,Imports of goods and services (% of GDP),90.75416579
1994,Imports of goods and services (annual % growth),25.63566298
1994,Insurance and financial services (% of commercial service exports),0.070416701
1994,Manufactures exports (% of merchandise exports),73.62057593
1994,Manufactures imports (% of merchandise imports),84.03859287
1994,Ores and metals exports (% of merchandise exports),1.269430514
1994,Ores and metals imports (% of merchandise imports),3.06074255
1995,Agricultural raw materials exports (% of merchandise exports),6.183894776
1995,Agricultural raw materials imports (% of merchandise imports),1.232089759
1995,Exports of goods and services (% of GDP),94.08917037
1995,Exports of goods and services (annual % growth),18.96452792
1995,Food exports (% of merchandise exports),9.49977543
1995,Food imports (% of merchandise imports),4.778405297
1995,Fuel exports (% of merchandise exports),6.990986242
1995,Fuel imports (% of merchandise imports),2.252975784
1995,Imports of goods and services (% of GDP),98.02402988
1995,Imports of goods and services (annual % growth),23.69806081
1995,Manufactures exports (% of merchandise exports),74.67180574
1995,Manufactures imports (% of merchandise imports),83.63604299
1995,Ores and metals exports (% of merchandise exports),1.346209983
1995,Ores and metals imports (% of merchandise imports),3.198760125
1996,Agricultural raw materials exports (% of merchandise exports),5.209943248
1996,Agricultural raw materials imports (% of merchandise imports),1.38452
1996,Exports of goods and services (% of GDP),91.57615121
1996,Exports of goods and services (annual % growth),9.227955007
1996,Food exports (% of merchandise exports),8.704364975
1996,Food imports (% of merchandise imports),5.250243998
1996,Fuel exports (% of merchandise exports),8.062548974
1996,Fuel imports (% of merchandise imports),2.663942962
1996,Imports of goods and services (% of GDP),90.19083127
1996,Imports of goods and services (annual % growth),4.885533888
1996,Manufactures exports (% of merchandise exports),75.70470021
1996,Manufactures imports (% of merchandise imports),82.82624901
1996,Ores and metals exports (% of merchandise exports),1.222593101
1996,Ores and metals imports (% of merchandise imports),3.1118293
1997,Agricultural raw materials exports (% of merchandise exports),4.350604441
1997,Agricultural raw materials imports (% of merchandise imports),1.31527985
1997,Exports of goods and services (% of GDP),93.289448
1997,Exports of goods and services (annual % growth),5.490640069
1997,Food exports (% of merchandise exports),8.641368732
1997,Food imports (% of merchandise imports),5.374614874
1997,Fuel exports (% of merchandise exports),8.123583259
1997,Fuel imports (% of merchandise imports),2.924725625
1997,Imports of goods and services (% of GDP),92.37566316
1997,Imports of goods and services (annual % growth),5.824575915
1997,Manufactures exports (% of merchandise exports),76.43877901
1997,Manufactures imports (% of merchandise imports),83.08231476
1997,Ores and metals exports (% of merchandise exports),1.209488273
1997,Ores and metals imports (% of merchandise imports),3.204833068
1998,Agricultural raw materials exports (% of merchandise exports),3.054567833
1998,Agricultural raw materials imports (% of merchandise imports),1.486051759
1998,Exports of goods and services (% of GDP),115.7437254
1998,Exports of goods and services (annual % growth),0.49115366
1998,Food exports (% of merchandise exports),9.967180135
1998,Food imports (% of merchandise imports),5.68331617
1998,Fuel exports (% of merchandise exports),6.163305401
1998,Fuel imports (% of merchandise imports),3.092499508
1998,Imports of goods and services (% of GDP),93.74847746
1998,Imports of goods and services (annual % growth),-18.75384766
1998,Manufactures exports (% of merchandise exports),78.69230532
1998,Manufactures imports (% of merchandise imports),84.20162973
1998,Ores and metals exports (% of merchandise exports),1.196550361
1998,Ores and metals imports (% of merchandise imports),2.941104775
1999,Agricultural raw materials exports (% of merchandise exports),2.917436519
1999,Agricultural raw materials imports (% of merchandise imports),1.432888395
1999,Exports of goods and services (% of GDP),121.3113937
1999,Exports of goods and services (annual % growth),13.16329779
1999,Food exports (% of merchandise exports),7.984942303
1999,Food imports (% of merchandise imports),5.42770752
1999,Fuel exports (% of merchandise exports),6.795830894
1999,Fuel imports (% of merchandise imports),3.031103078
1999,Imports of goods and services (% of GDP),96.25952574
1999,Imports of goods and services (annual % growth),10.56333254
1999,Insurance and financial services (% of commercial service exports),2.40791738
1999,Insurance and financial services (% of commercial service imports),3.002078778
1999,Manufactures exports (% of merchandise exports),80.27611031
1999,Manufactures imports (% of merchandise imports),83.67522762
1999,Ores and metals exports (% of merchandise exports),1.15091487
1999,Ores and metals imports (% of merchandise imports),3.235655679
2000,Agricultural raw materials exports (% of merchandise exports),2.621660316
2000,Agricultural raw materials imports (% of merchandise imports),1.333442521
2000,Exports of goods and services (% of GDP),119.8097087
2000,Exports of goods and services (annual % growth),16.06572945
